product_name,revenue_ugx,article_no
[FC] Freight Charges,48361521,
Jumbo Balls 1kg,31451017,
Whole Pork Carcass,30565700,
Pork Steak (1KG),12937199,
Betar Chrismas Offer,8808000,
[S] RR - Hotdog Pork 500g,7785954,
Fresh Bone Marrows,6995462,
BBQ Marinated Festive Grill (Halaal),6446500,
Chilled - Beef Hotdog 350G,5201355,
Nile Perch Whole,5174400,
Chilled - Pork Hotdog 350G,4815932,
Beef Fat,4796450,
Boundin Blanc 3Pcs,4546760,
[S] Fillet Mignon Steaks (kg),4360200,
Lamb Neck,4305909,
BBQ Marinated Festive Grill (Non Halaal),3825818,
Trimmed Beef Special Kg,3756400,
Table Eggs -15/Pack,3675000,
"Chipolatas (Beef, 720G)",3385806,
Bouding Blanc - kg,3372553,
Beef Briskets,3357467,
Chateauneuf  Du Pape  Chemin De Papes Red 750ml,3261356,
Goat Loin kg,3114324,
"Chipolatas (Chicken, 720G)",2924230,
Nile Perch Fillet Kg,2737500,
Jugdwurst or Jachtworst,2652688,
RF- Easter Hamper,2508000,
Feta Greco 200g,2477966,
Krainer Sausage Kg,2466930,
[L] Russian Sausage (500g),2419081,
Betar Easter Hamper,2338983,
Mushroom Sausages,2112136,
Anthonij Rupert Optima 750ml,2033898,
Lamb Shoulder,1947453,
[L] HOTDOG PORK KG,1875746,
Chilled - Pepperoni 200G,1848737,
Kiosk Beef Samosa,1837503,
Salted Butter 250g,1730457,
Mucho Mas Tinto Black Edition 750ML,1722881,
Domaine Sainte Cecile Cabernet Sauvignon 750ml,1721186,
Prime Silver Side,1626000,
Boundin Blanc kg,1620834,
Goude Sneetjes Vergeer 175g,1598305,
Kiosk Chapati,1579004,
[M] HOTDOG PORK 500G,1559835,
Tinned /Corned Beef 200g,1529661,
Masi Veneto Classico Masianco 750ml,1439915,
ISFI Brochettes Spice 750g,1420932,
Betar Chrismas Hamper KG,1419492,
Prime Beef Briskets - Poitrine,1417188,
Flandrien Jong Sneetje 150g,1372881,
"Chipolatas (Pork, 720G)",1329092,
Beef offcuts,1290025,
770 Miles Cabernet Sauvignon Red 6X750ml,1212542,
[S] RF- GOAT SAUSAGE 400G,1211981,
KWV Black Rooderberg 750ml,1195932,
Domaine Sainte Chardonnay 750ml,1147458,
Exhib Rose 750ml,1111017,
Garlic Sausages,1032034,
Villa Sandi Prosecco Ex Dry White 740ml,1008051,
Signore Giuseppe Prosecco EX Dry White 750ml,993220,
Aruma  Malbec Red 750ml,966102,
Kia Ora Sauvignon Blanc 750ml,821186,
Mucho Mas Blanco750ml,816102,
Pork Piglet Kg,814080,
Betar - school Pack,784000,
Danish Polser Sausages,771186,
Burger buns,763559,
PORK FAT,726180,
Sweet White Bread kg,711865,
Table Eggs -6/Pack,697500,
Belgium Dry Sausage,681356,
Flandrien Oud 150GR,678814,
Bellingham Homestead Shiraz 750ml,654237,
Nero Marone Primitivo 750ml,649576,
Jerrycans,640805,
BACKSBERG Merlot 750ml,634746,
Calvet Cramont De Bordeaux Brut Rose 750ml,631102,
BONI Black Pepper Spice 200g,546610,
Calvet Cremant De Bordeaux Brut White 750ml,516356,
Bugget bread small,508475,
Bugget Bread big,508475,
Rooiberg Pinotage 750ml,507797,
Baron D' Arignac Sweet White 750ml,505593,
BONI Pili Pili Spice -40g,492712,
Hotdog Buns,483051,
Calvet Reserve Bordeaux  Merlot Cabernet Sauvignon 750ml,467119,
BONI Rosemary Spice - 20g,462797,
Domaine Sainte Cecile Sauvignon Blanc 750ml,458983,
BONI Garlic Powder - 60g,458644,
Baron D' Arignac Sweet Red 750ml,425763,
Easter Family Essential,423729,
Calvet Aitos Merlot Red 750ml,422966,
BACKSBERG Cab Sauvignon 750ml,408051,
Brodeux  Baron Rothschild Legende Red 750ml,402542,
Easter Bounty Basket,381356,
Wooded Plate,375000,
Lamb Fat,373000,
BONI Paprika - 50g,365763,
Pork Trotters /Hooves,360472,
Landana Walnoot 200G,355932,
770 Miles Chardonnay 750ml,346441,
Betar -Mother's Day Hamper,343220,
Small - Whole Turkey,337500,
Cassava  Starch,334805,
BONI Kerrie Curry Powder 450g,331610,
Pork Shanks kg,330000,
Bellingham Homestead Sauvignon Blanc 750ml,327119,
BOURSIN CUISINE 230GR LOOK,326271,
EVERYDAY Ground Nutmeg 105g,323559,
Provetto  Sparkling White 750ml,322034,
Masi Valpolicella Classico Bonacosta 750ml,322034,
Brodeux  Baron Rothschild Legende White 750ml,322034,
Landana Masterd 150g,317797,
BONI BIO White Pepper -50g,317288,
B0NI Spice Cayenne Pepper - 40g,314661,
CAMENBERT ISIGNY 150G,302966,
Masi Soave Classico Levarie 750ml,302034,
Lavierge Original Sin Sauvignon Blanc 750ml,302034,
Black Coffee,300848,
Nobile Rosso Cioccolata 750ml,298983,
Nobile Bianco Vaniglia 750ml,298983,
BONI Basil Spice - 18g,289831,
BONI Thyme - 20g,283390,
None,279661,
RF- Mother's Day Hamper,275424,
Protea Sauvignon Blanc 750ml,265932,
Meat Balls in Tomato sauce 750ml,265500,
Bolognese Sauce 750ml,264000,
BONI Spices Curry - 40g,263390,
Nobile Rosso Cherry 750ml,261780,
Bellingham Homestead Chardonnay 750ml,261695,
SINGLE ESPRESSO,254237,
Le chateau Sauvignon medium White 750ml,253559,
Catering - Goat Stirfry kg,252000,
OUD Brugge Snee 165g,244068,
SINGLE CAPPUCCINO /LATTE,244068,
BONI BIO Spices  Provencial -15g,241017,
Nobile Rosso Espresso 750ml,232542,
Pork Knuckle  kg,230262,
Turkey Pieces,226216,
Protea Chardonnay 750ml,221610,
Protea Merlot 750ml,221610,
Stuffed Turkey,219900,
DUCROS Cloves  - 23g,213559,
Marbled Cake Bread kg,203390,
Americano,198305,
BONI Spices Oregano 12g,191186,
BONI BIO Oregano Spice - 11g,189153,
Mozzarella Zanetti Buffel 125g,186441,
Pierre Marcel Sweet Red 750ml,186271,
Cocktail Beef Samosas,169492,
Pierre Marcel Sweet White 750ml,159661,
Brown Salted Bread kg,154576,
Pepper Sauce 750gms,153000,
BONI Paprika Spice 550g,152542,
BONI Dill Spice -12g,149831,
Budget Fillet Mignon Steak +/-250gr,148050,
CHAVROUX BUCHE 150G,141102,
[L] RR - Hotdog Pork 1Kg,139364,
One wine and 2 Steaks,135593,
Landana Chilli Sambal 200g,131695,
Bellingham Homestead Chenin Blanc 750ml,130847,
Ketchup,127119,
BONI Cinnamon Powder 40g,127119,
CROISSANT,121186,
Beef Pie,115254,
Prime Fillet Mignon Steaks   +/-200 Gr Piece,112000,
Sweet Farmers Bread 500g,105763,
Beef Samosas,105297,
BONI Ginger Powder -35g,104746,
Flake Zalt Box - 250g,101864,
Catering-Beef Hotdog 1Kg,101695,
Cheza Shaker Tube -70g,98305,
Halisi Shaker Tube - 100g,98220,
Beef Silverside,97585,
BONI Fish Spice - 40g,97288,
Boneless Ham with skin,95200,
Pili Pili Manga Shaker Tube -50g,89237,
Protea Cabernet Sauvignon 750ml,88644,
Tikisa Shaker Tube -70g,85593,
Mayonnaise,84746,
BONI Spices Tarragon - 8g,84746,
African Coffee,72034,
[M] Russian Sausage 500g,69915,
Choma Grinder - 50g,68814,
Sodium Nitrate,68400,
BONI Herb chives - 8g,68051,
Iced Cappuccino /Late,67797,
Kali Grinder - 50g,66356,
Lamb Knuckles kg,66000,
Roquefort Sneetjes 100g,63559,
Chateau Grand Plantey Bordeaux 750ml,63390,
Iced Coffee,59322,
White Salted Bread Kg,56949,
Boneless Beef Shanks,55934,
Marinated BBQ Wings,51458,
FRESH MILK,50847,
Halisi Pouch -125g,50000,
Scoone,49576,
Moto Moto Pouch -100g,48305,
Saint Albray Cremaux 200G,47034,
BONI Spice Cayenne Pepper -45g,44746,
Mustard,42373,
African Tea,41525,
BRIE COEUR LYON 125G,39830,
BONI Marjolein,37119,
Kichaa Shaker Tube -70g,36271,
Brown Salted Bread 500g,35593,
DOUBLE CAPPUCINO /LATTE,33898,
Smoked Bone Marrows,31086,
DOUBLE ESPRESSO,30508,
DAWA TEA,29661,
COOKIES,28339,
Pili Pili Manga Grinder -30g,26186,
Kila Siku Fling Jar -90g,26186,
BONI Tumeric - 50g,23220,
Chapatti,22881,
Saucission kg,21186,
Saucission ilail  Kg,21186,
Kiosk Rolex,21000,
White Salted Bread 500g,20339,
BONI BIO Persil -8g,19068,
BONI Garlic Powder -65g,12119,
Chips,5932,
Betar Grillers (12Pcs) Cooked,3178,
RF- Beef sausage Samples (4pcs),352,
RF-Pork sausage Samples (4pcs),329,
Goat Rack,16,
Mitmita Halaal (Hot) 250g,7,
Berbere Halaal 250g (Low Flavour),5,
Berbere Halaal 250g (High Flavour),5,
Budget fillet mignon Samples,1,
2000 USh per order on specific products,-2000,
2700 USh per order on specific products  (2),-2288,
2700 USh per order on specific products,-2288,
1000 USh per order on specific products,-7000,
1400 USh per order on specific products,-10678,
1000 USh per order on specific products Discount,-25000,
2100 USh per order on specific products,-27300,
Discount,-385144,
